,id,name,quantity,last_modified_by,last_modified_date,sku,location,type,category
10000,10000,VIOY USB-C - USB-A Adapter,15,,2023-08-08 09:52:34.560600,X001LWXAAV,File Cabinet,USB-C - USB-A Adapter,Cables
10002,10002,YubiKey USB-A Nano,6,,2023-08-08 11:43:54.263815,Unknown,File Cabinet,Yubikeys,Hardware
10003,10003,Zukey USB-A,1,,2023-08-08 11:44:20.882463,Unknown,File Cabinet,Yubikeys,Hardware
10004,10004,Zukey USB-C,60,,2023-08-08 11:44:40.684324,Unknown,File Cabinet,Yubikeys,Hardware
10005,10005,Zebra ZT411 Printheads,5,,2023-08-08 11:54:10.481657,Unknown,File Cabinet,Zebra ZT411 Printheads,Hardware
10006,10006,Zebra ZT411 White Rollers,11,,2023-08-08 11:55:58.762061,Unknown,File Cabinet,Zebra ZT411 White Rollers,Hardware
10007,10007,Zebra ZT411 Black Rollers,4,,2023-08-08 12:00:24.249295,Unknown,File Cabinet,Zebra ZT411 Black Rollers,Hardware
10008,10008,Kingston 480GB SSD,7,,2023-08-08 12:13:45.200245,740617263442,File Cabinet,SSD,Hardware
10009,10009,Samsung 960GB SSD,1,,2023-08-08 12:21:43.847081,Unknown,File Cabinet,SSD,Hardware
10037,10037,M.2 NVMe 256GB,9,,2023-08-14 14:38:24.352061,Unknown,File Cabinet,M.2 NVMe,Hardware
10038,10038,M.2 SATA 128GB,2,,2023-08-14 14:39:50.118908,Unknown,File Cabinet,M.2 SSD,Hardware
10039,10039,M.2 SATA 256GB,10,,2023-08-14 14:41:18.346015,Unknown,File Cabinet,M.2 SSD,Hardware
10041,10041,Samsung 4GB,15,,2023-08-14 15:15:38.932479,Unknown,File Cabinet,RAM - DDR4 - Laptop,Hardware
10042,10042,Kingston 8GB,6,,2023-08-14 15:16:40.079283,740617310993,File Cabinet,RAM - DDR4 - Laptop,Hardware
10043,10043,MTA 4GB RAM,3,,2023-08-14 15:21:00.451841,Unknown,File Cabinet,RAM - DDR4 - Laptop,Hardware
10044,10044,Crucial 16GB RAM,1,,2023-08-14 15:24:55.035359,Unknown,File Cabinet,RAM - DDR4 - Laptop,Hardware
10045,10045,Trancend 16GB Micro SD,1,,2023-08-14 15:52:15.689568,760557841043,A1,MicroSD,Hardware
10046,10046,Hama 16GB MicroSD,3,,2023-08-14 15:56:35.233097,Unknown,File Cabinet,MicroSD,Hardware
10047,10047,SK Hynix 32GB RAM - DT,1,,2023-08-14 16:12:08.394497,Unknown,File Cabinet,DDR4 RAM Desktop,Hardware
